,course_id,course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,subject,year,month
1918,212624,Introduction to HTML,0,0,8371,212,18,Beginner Level,1.5,Web Development,2014,08
1919,803074,introduction to HTML Course,1,20,3258,32,16,Beginner Level,2,Web Development,2016,05
1920,782192,Introduction to HTML5 Canvas basics of drawing,1,200,2918,16,17,Beginner Level,1,Web Development,2016,03
1921,12975,Introduction to Java Programming for Online Learners,1,200,1586,87,124,Beginner Level,22,Web Development,2013,04
1922,295843,Introduction to Laravel 4,0,0,9110,411,22,All Levels,2.5,Web Development,2014,09
1923,103662,Introduction to Lead Guitar,1,20,245,8,34,Intermediate Level,1.5,Musical Instruments,2013,11
1924,565384,Introduction to Modern Programming with PHP,1,20,954,183,123,Beginner Level,16,Web Development,2015,08
1925,212394,Introduction to Node.js Development,1,55,1779,48,16,Expert Level,1,Web Development,2014,08
1926,1189280,Introduction to Node.js for Beginners,1,125,1367,17,58,Beginner Level,6,Web Development,2017,04
1927,552504,Introduction to Options - Strategies For Consistent Profits,1,40,617,44,55,All Levels,4.5,Business Finance,2015,08
1928,817074,Introduction to Photoshop CC: Tutorials for Beginners,1,20,262,0,12,Beginner Level,1,Graphic Design,2016,04
1929,576108,Introduction to PHP Slim Microframework,1,20,1312,19,11,Intermediate Level,1,Web Development,2015,08
1930,583752,Introduction to Piano - By PGN Piano!,0,0,14922,772,8,Beginner Level,0.7,Musical Instruments,2015,08
1931,1247992,Introduction to Project Management for Finance and Acct'g,1,50,0,0,9,Beginner Level,2,Business Finance,2017,07
1932,1038538,Introduction to QGIS Python Programming,1,85,197,26,28,Beginner Level,3.5,Web Development,2016,12
1933,35131,Introduction to Small Business Accounting Training Tutorial,1,25,168,9,75,Beginner Level,3.5,Business Finance,2013,01
1934,282044,Introduction to the 8 Pillars for Accountants,1,20,18,0,33,Beginner Level,0.6,Business Finance,2014,08
1935,73068,Introduction to the CFA Program,0,0,4248,66,6,Beginner Level,1,Business Finance,2013,08
1936,980408,Introduction to the economics of public services regulation,1,80,98,35,69,Intermediate Level,8,Business Finance,2017,01
1937,607800,Introduction To The World Of Equity Finance,1,20,29,9,32,All Levels,2,Business Finance,2015,12
1938,332690,Introduction to Trade Theory (Technical Analysis) For Stocks,1,20,45,4,6,Beginner Level,1,Business Finance,2014,11
1939,650836,Introduction to Ukulele 1,1,20,630,25,27,Beginner Level,1,Musical Instruments,2015,12
1940,1034074,Introduction to Value Growth Investing,0,0,2768,83,10,All Levels,1,Business Finance,2016,12
